City_ID,City,Country,Max Temp,Humidity,Cloudiness,Wind Speed,Lat,Lng,Hotel Name
582,Suclayin,PH,79.02,88,100,19.71,15.76,121.55,Costa Pacifica
583,Bara,NG,77.54,34,26,4.94,10.37,10.73,
584,Avera,US,78.8,69,75,3.36,33.19,-82.53,
585,Brownsville,US,87.8,62,75,16.11,25.9,-97.5,Hotel Alameda Express
586,Bubaque,GW,83.71,81,11,11.3,11.28,-15.83,"Casa Dora, Bubaque"
587,Honiara,SB,80.6,83,40,5.82,-9.43,159.95,Heritage Park Hotel
588,Statesboro,US,84.2,57,1,2.59,32.45,-81.78,Holiday Inn Statesboro-University Area
589,Noumea,NC,80.01,50,0,8.05,-22.28,166.46,Hôtel Le Lagon
590,Safford,US,82.4,15,1,19.46,32.83,-109.71,SpringHill Suites by Marriott Thatcher
591,Champerico,GT,87.8,70,75,6.93,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
593,Kirando,TZ,78.26,57,26,6.02,-7.42,30.6,Lakeshore Lodge
595,Sao Raimundo Das Mangabeiras,BR,80.73,70,78,1.36,-7.02,-45.48,Hotel Tropical
596,San Ignacio,BZ,87.8,66,40,6.93,17.16,-89.07,Rainforest Haven Inn
602,Puerto Narino,CO,78.8,100,75,3.36,-3.77,-70.38,Eware Refugio Amazonico
607,Popondetta,PG,79.02,85,100,1.39,-8.75,148.25,Timos Transit House
608,Fonte Boa,BR,76.64,94,100,3.04,-2.5,-66.27,
610,Port-Gentil,GA,80.6,78,40,11.41,-0.72,8.78,Fengshui Residence
614,Cayenne,GF,84.2,74,20,8.05,4.93,-52.33,Hôtel Le Dronmi
616,Ranong,TH,76.73,87,93,5.66,9.97,98.63,Tinidee Hotel@Ranong
619,Presidencia Roque Saenz Pena,AR,85.51,56,57,6.91,-26.79,-60.44,Hotel Aconcagua
620,Guiratinga,BR,76.1,82,100,0.83,-16.35,-53.76,Hotel Angra do Cerrado - Guiratinga MT
626,Takoradi,GH,77.74,90,100,8.77,4.88,-1.76,Raybow International Hotel
631,Bairiki,KI,84.2,70,20,8.05,1.33,172.98,Tarawa Boutique Hotel
634,Kaputa,ZM,76.73,51,29,3.58,-8.47,29.66,Chelelwa Charlets
637,Praya,CV,82.4,61,0,19.46,14.92,-23.51,LT Aparthotel
639,Ixtapa,MX,89.01,74,20,9.17,20.7,-105.2,Container Inn Puerto Vallarta
640,Ewa Beach,US,84.2,70,1,9.17,21.32,-158.01,Hampton Inn & Suites Oahu/Kapolei
641,Pontes E Lacerda,BR,84.7,60,31,4.54,-15.23,-59.34,Hotel Bressan
646,Rialma,BR,76.75,74,57,4.03,-15.31,-49.58,Don Antonio Hotel
652,Doha,QA,80.6,74,0,3.36,25.29,51.53,Doha Marriott Hotel
655,Davila,PH,80.6,78,75,13.87,18.47,120.58,SITIO 3 DAVILA PASUQUIN
664,Nova Olimpia,BR,86.18,55,42,5.26,-14.8,-57.29,Motel glamour
666,Bathsheba,BB,84.2,74,40,16.11,13.22,-59.52,Atlantis Hotel
677,Alamogordo,US,82.0,18,1,3.36,32.9,-105.96,Fairfield Inn & Suites by Marriott Alamogordo
678,Ahuimanu,US,86.0,66,40,8.05,21.44,-157.84,Paradise Bay Resort
679,Calabozo,VE,78.53,89,87,4.36,8.92,-67.43,Hotel Giardini
681,Tevaitoa,PF,80.69,69,3,6.67,-16.78,-151.5,Hôtel Raiatea Lodge
682,Sola,VU,78.8,94,90,18.77,-13.88,167.55,Ulkel Guest House
683,Mahibadhoo,MV,81.97,79,100,8.75,3.78,72.97,Omadhoo Inn
